startphrase,ending1,ending2,object,modified_1,modified_2,labels,qid
"The gorilla has the strength of a sick, old man",The gorilla is strong,The gorilla is weak,"a sick, old man","A sick, old man is strong","A sick, old man is weak",1,884
His feet were as big as a basketball player's.,His feet were very big.,His feet were small.,a basketball player's,A basketball player's were very big.,A basketball player's were small.,0,887
His feet were as big as an adolescent child.,His feet were very big.,His feet were small.,an adolescent child,An adolescent child were very big.,An adolescent child were small.,1,887
The man was as ambitious as an astrophysicist,The man set ambitious goals for himself.,The man lacked ambition.,an astrophysicist,An astrophysicist set ambitious goals for himself.,An astrophysicist lacked ambition.,0,891
The man was as ambitious as a custodian,The man set ambitious goals for himself.,The man lacked ambition.,a custodian,A custodian set ambitious goals for himself.,A custodian lacked ambition.,1,891
The marriage is as good as a fresh out of the oven bagel,They have an awesome marriage,Their marriage is horrible,a fresh ,A fresh have an awesome marriage,A fresh is horrible,0,894
The marriage is as good as a month old banana,They have an awesome marriage,Their marriage is horrible,a month old banana,A month old banana have an awesome marriage,A month old banana is horrible,1,894
The book was as exciting as Noam Chomsky on qualudes,The book was boring,The book was gripping,Noam Chomsky ,Noam chomsky was boring,Noam chomsky was gripping,0,900
The preschool teacher was a grim reaper.,The preschool teacher was dour.,The preschool teacher was funny.,a grim reaper,A grim reaper was dour.,A grim reaper was funny.,0,901
The preschool teacher was a clown.,The preschool teacher was dour.,The preschool teacher was funny.,a clown,A clown was dour.,A clown was funny.,1,901
The chemist was a lumberjack.,The chemist was sloppy.,The chemist was careful.,a lumberjack,A lumberjack was sloppy.,A lumberjack was careful.,0,902
The chemist was an artist.,The chemist was sloppy.,The chemist was careful.,an artist,An artist was sloppy.,An artist was careful.,1,902
That girl has the depth of a toilet,That girl is vain.,That girl is profound.,a toilet,A toilet is vain.,A toilet is profound.,0,914
That girl has the depth of a diving pool.,That girl is vain.,That girl is profound.,a diving pool,A diving pool is vain.,A diving pool is profound.,1,914
The woman has the skin of a cat's tongue.,That woman has rough skin.,That woman has smooth skin.,a cat's tongue,A cat's tongue has rough skin.,A cat's tongue has smooth skin.,0,915
The woman has the skin of mirror.,That woman has rough skin.,That woman has smooth skin.,mirror,Mirror has rough skin.,Mirror has smooth skin.,1,915
The child's singing voice sounded like Madonna's,The child's singing voice was excellent.,The child's singing voice was poor.,Madonna's,Madonna's was excellent.,Madonna's was poor.,0,917
The child's singing voice sounded like a scratchy violin,The child's singing voice was excellent.,The child's singing voice was poor.,a scratchy violin,A scratchy violin was excellent.,A scratchy violin was poor.,1,917
The group were as collaborative as a bunch of monkeys,they didnt work well together,they worked well together,a bunch of monkeys,A bunch of monkeys didnt work well together,A bunch of monkeys worked well together,0,919
The group were as collaborative as well oiled gears,they didnt work well together,they worked well together,well oiled gears,Well oiled gears didnt work well together,Well oiled gears worked well together,1,919
The display was bright as the sun,it was really bright,it was really dull,the sun,The sun was really bright,The sun was really dull,0,920
The display was bright as a new moon,it was really bright,it was really dull,a new moon,A new moon was really bright,A new moon was really dull,1,920
The novel was as deep as a kiddie pool,it had no meaning,it had meaning,a kiddie pool,A kiddie pool had no meaning,A kiddie pool had meaning,0,921
The novel was as deep as the great sea,it had no meaning,it had meaning,the great sea,The great sea had no meaning,The great sea had meaning,1,921
She had the swimming ability of a mermaid,She was a good swimmer,She was a bad swimmer,a mermaid,A mermaid was a good swimmer,A mermaid was a bad swimmer,0,923
She had the swimming ability of a boulder,She was a good swimmer,She was a bad swimmer,a boulder,A boulder was a good swimmer,A boulder was a bad swimmer,1,923
Her eyes were as sparkly as ocean water,Her eyes were pretty,they weren't very pretty,ocean water,Ocean water were pretty,Ocean water weren't very pretty,0,934
Her eyes were as sparkly as mud,Her eyes were pretty,they weren't very pretty,mud,Mud were pretty,Mud weren't very pretty,1,934
The new Hollywood movie has the intensity of a rollercoaster.,The new Hollywood movie is very intense.,The new Hollywood movie is dull.,a rollercoaster,A rollercoaster is very intense.,A rollercoaster is dull.,0,939
The new Hollywood movie has the intensity of an evening with grandma.,The new Hollywood movie is very intense.,The new Hollywood movie is dull.,an evening ,An evening is very intense.,An evening is dull.,1,939
Hollywood has the depth of a puddle.,Hollywood is shallow.,Hollywood is profound.,a puddle,A puddle is shallow.,A puddle is profound.,0,942
Hollywood has the depth of a skyscraper.,Hollywood is shallow.,Hollywood is profound.,a skyscraper,A skyscraper is shallow.,A skyscraper is profound.,1,942
The man has a height of a mouse.,The man is very short.,The man is tall.,a mouse,A mouse is very short.,A mouse is tall.,0,943
The man has a height of a skyscraper.,The man is very short.,The man is tall.,a skyscraper,A skyscraper is very short.,A skyscraper is tall.,1,943
He's as free as a released prisoner.,He's very free.,He's not free at all.,a released prisoner,A released prisoner's very free.,A released prisoner's not free at all.,0,952
He's as free as a death-row inmate.,He's very free.,He's not free at all.,a death-row inmate,A death-row inmate's very free.,A death-row inmate's not free at all.,1,952
Hollywood is as genuine as Silk,Hollywood is the real deal.,Hollywood is fake.,Silk,Silk is the real deal.,Silk is fake.,0,954
Hollywood is as genuine as Rayon,Hollywood is the real deal.,Hollywood is fake.,Rayon,Rayon is the real deal.,Rayon is fake.,1,954
Life is as easy as Kindergarten for a high school senior.,Life is basic.,Life is beyond comprehension.,Kindergarten ,Kindergarten is basic.,Kindergarten is beyond comprehension.,0,956
Life is as easy as Kindergarten for a newborn.,Life is basic.,Life is beyond comprehension.,Kindergarten ,Kindergarten is basic.,Kindergarten is beyond comprehension.,1,956
She was as sweet as vinegar,She is very sweet,She isn't sweet at all,vinegar,Vinegar is very sweet,Vinegar isn't sweet at all,1,960
He's as deep as a puddle,He doesn't have a lot of insight,He has a great deal of insight,a puddle,A puddle doesn't have a lot of insight,A puddle has a great deal of insight,0,962
He's as deep as the sea,He doesn't have a lot of insight,He has a great deal of insight,the sea,The sea doesn't have a lot of insight,The sea has a great deal of insight,1,962
My aunt has a heart of gold,"My aunt is very generous, loving","My aunt is very cold, stoic",gold,"Gold is very generous, loving","Gold is very cold, stoic",0,965
My aunt has a heart of steel,"My aunt is very generous, loving","My aunt is very cold, stoic",steel,"Steel is very generous, loving","Steel is very cold, stoic",1,965
The mean girl has the depth of a kiddie pool.,The mean girl is superficial.,The mean girl is deep.,a kiddie pool,A kiddie pool is superficial.,A kiddie pool is deep.,0,967
The mean girl has the depth of the sea.,The mean girl is superficial.,The mean girl is deep.,the sea,The sea is superficial.,The sea is deep.,1,967
The actor is a yeti.,The actor is hairy.,The actor is hairless.,a yeti,A yeti is hairy.,A yeti is hairless.,0,968
The actor is a baby's bottom.,The actor is hairy.,The actor is hairless.,a baby's bottom,A baby's bottom is hairy.,A baby's bottom is hairless.,1,968
The girl was as short as the Eiffel Tower,The girl was tall.,The girl was very short.,the Eiffel Tower,The eiffel tower was tall.,The eiffel tower was very short.,0,969
The girl was as short as a second,The girl was tall.,The girl was very short.,a second,A second was tall.,A second was very short.,1,969
The boy's voice was as loud as a ship's whistle,The boy's voice was obnoxiously loud.,The boy's voice couldn't be heard.,a ship's whistle,A ship's whistle was obnoxiously loud.,A ship's whistle couldn't be heard.,0,971
The boy's voice was as loud as a fish,The boy's voice was obnoxiously loud.,The boy's voice couldn't be heard.,a fish,A fish was obnoxiously loud.,A fish couldn't be heard.,1,971
They left town like a jet,They left town quickly.,They left town slowly.,a jet,A jet left town quickly.,A jet left town slowly.,0,973
They left town like a herd of turtles,They left town quickly.,They left town slowly.,a herd of turtles,A herd of turtles left town quickly.,A herd of turtles left town slowly.,1,973
It had the consistency of water,It was liquid.,It was solid.,water,Water was liquid.,Water was solid.,0,974
It had the consistency of concrete,It was liquid.,It was solid.,concrete,Concrete was liquid.,Concrete was solid.,1,974
He ate like a horse,He ate a lot,He barely ate at all,a horse,A horse ate a lot,A horse barely ate at all,0,980
He ate like a bird,He ate a lot,He barely ate at all,a bird,A bird ate a lot,A bird barely ate at all,1,980
The groups are as separate as Berlin during the Cold War.,The groups are apart from each other.,The groups are different from each other but together enough to add strength to each other.,Berlin ,Berlin are apart from each other.,Berlin are different from each other but together enough to add strength to each other.,0,986
The groups are as separate as strands of yarn.,The groups are apart from each other.,The groups are different from each other but together enough to add strength to each other.,strands of yarn,Strands of yarn are apart from each other.,Strands of yarn are different from each other but together enough to add strength to each other.,1,986
The girl's engagement ring sparkled like New Year's Eve confetti,The girl's engagement ring was very shiny.,The girl's engagement ring was really dull.,New Year's Eve ,New year's eve was very shiny.,New year's eve was really dull.,0,990
The girl's engagement ring sparkled like a block of lead,The girl's engagement ring was very shiny.,The girl's engagement ring was really dull.,a block of lead,A block of lead was very shiny.,A block of lead was really dull.,1,990
He's as fun as a party,He's fun,He's boring,a party,A party's fun,A party's boring,0,998
He has eyes like a hawk,He sees well,He can't see well,a hawk,A hawk sees well,A hawk can't see well,0,999
He has eyes like a bat,He sees well,He can't see well,a bat,A bat sees well,A bat can't see well,1,999
He's as lenient as a prison guard.,He's not lenient at all.,He's very lenient.,a prison guard,A prison guard's not lenient at all.,A prison guard's very lenient.,0,1000
He's as lenient as a dad trying to win his kids' love.,He's not lenient at all.,He's very lenient.,a dad trying to win his kids' love,A dad trying to win his kids' love's not lenient at all.,A dad trying to win his kids' love's very lenient.,1,1000
He keeps time like a stopwatch.,He keeps time really well.,He doesn't keep time that well.,a stopwatch,A stopwatch keeps time really well.,A stopwatch doesn't keep time that well.,0,1001
He keeps time like a three-year old on sugar.,He keeps time really well.,He doesn't keep time that well.,a three-year old on sugar,A three-year old on sugar keeps time really well.,A three-year old on sugar doesn't keep time that well.,1,1001
The country has all the enemies of a wounded seal in shark infested waters,The country has many enemies,The country has few enemies,a wounded seal in shark infested waters,A wounded seal in shark infested waters has many enemies,A wounded seal in shark infested waters has few enemies,0,1006
The country has all the enemies of Mister Rogers,The country has many enemies,The country has few enemies,Mister Rogers,Mister rogers has many enemies,Mister rogers has few enemies,1,1006
That dog has the fur of a naked mole rat.,The dog is bald.,The dog is fluffy.,a naked mole rat,A naked mole rat is bald.,A naked mole rat is fluffy.,0,1012
That dog has the fur of a lion's mane.,The dog is bald.,The dog is fluffy.,a lion's mane,A lion's mane is bald.,A lion's mane is fluffy.,1,1012
The baby is as loud as a whisper.,The baby is quiet.,The baby makes a lot of noise.,a whisper,A whisper is quiet.,A whisper makes a lot of noise.,0,1013
The baby is as loud as a foghorn.,The baby is quiet.,The baby makes a lot of noise.,a foghorn,A foghorn is quiet.,A foghorn makes a lot of noise.,1,1013
Honesty is a down comforter for one's conscience.,Honesty creates a clear conscience.,Honesty restricts ambition.,a down comforter for one's conscience,A down comforter for one's conscience creates a clear conscience.,A down comforter for one's conscience restricts ambition.,0,1015
Honesty is a burden on one's ambitions.,Honesty creates a clear conscience.,Honesty restricts ambition.,a burden on one's ambitions,A burden on one's ambitions creates a clear conscience.,A burden on one's ambitions restricts ambition.,1,1015
He roared like a lion,He roared loudly,He roared softly,a lion,A lion roared loudly,A lion roared softly,0,1027
He roared like a kitten,He roared loudly,He roared softly,a kitten,A kitten roared loudly,A kitten roared softly,1,1027
The defenses are as thick as steel,The defenses are strong,The defenses are weak,steel,Steel are strong,Steel are weak,0,1028
The defenses are as thick as air,The defenses are strong,The defenses are weak,air,Air are strong,Air are weak,1,1028
The comedian was as funny as a clown,The comedian was funny,The comedian was not funny,a clown,A clown was funny,A clown was not funny,0,1029
The comedian was as funny as a corpse,The comedian was funny,The comedian was not funny,a corpse,A corpse was funny,A corpse was not funny,1,1029
That city was the heartbeat of California.,The city had the pure essence of California.,The city did not represent California and actually it made it worse.,the heartbeat of California,The heartbeat of california had the pure essence of california.,The heartbeat of california did not represent california and actually it made it worse.,0,1030
That city was a blister on California.,The city had the pure essence of California.,The city did not represent California and actually it made it worse.,a blister on California,A blister on california had the pure essence of california.,A blister on california did not represent california and actually it made it worse.,1,1030
The movie has the depth of a cookie sheet filled with melted red Jello,The movie is boring,The movie is profound,a cookie sheet filled with melted red Jello,A cookie sheet filled with melted red jello is boring,A cookie sheet filled with melted red jello is profound,0,1052
The movie has the depth of the deepest most mysterious part of the Marianna Trench in the darkest black ocean,The movie is boring,The movie is profound,the deepest most mysterious part of the Marianna Trench ,The deepest most mysterious part of the marianna trench is boring,The deepest most mysterious part of the marianna trench is profound,1,1052
The room is as crowded as the beach in the summer,The room is packed.,The room is empty.,the beach ,The beach is packed.,The beach is empty.,0,1064
The room is as crowded as the Arctic,The room is packed.,The room is empty.,the Arctic,The arctic is packed.,The arctic is empty.,1,1064
The horse had the power of a Ferrari.,The horse is very strong.,The horse is weak.,a Ferrari,A ferrari is very strong.,A ferrari is weak.,0,1071
The horse had the power of a bicycle.,The horse is very strong.,The horse is weak.,a bicycle,A bicycle is very strong.,A bicycle is weak.,1,1071
The judge had the intelligence of a cricket.,The judge is not smart.,The judge is smart.,a cricket,A cricket is not smart.,A cricket is smart.,0,1072
The judge had the intelligence of a surgeon.,The judge is not smart.,The judge is smart.,a surgeon,A surgeon is not smart.,A surgeon is smart.,1,1072
That wave was as big as everest.,The wave was very big.,The wave wasn't big at all.,everest,Everest was very big.,Everest wasn't big at all.,0,1073
That wave was as big as a pebble.,The wave was very big.,The wave wasn't big at all.,a pebble,A pebble was very big.,A pebble wasn't big at all.,1,1073
She could eat like a a starved bear.,She ate very ravenously.,She barely ate..,a a starved bear,A a starved bear ate very ravenously.,A a starved bear barely ate..,0,1074
She could eat like a an ant.,She ate very ravenously.,She barely ate..,a an ant,A an ant ate very ravenously.,A an ant barely ate..,1,1074
The high school athlete has the speed of a jaguar,The high school athlete is fast.,The high school athlete is slow.,a jaguar,A jaguar is fast.,A jaguar is slow.,0,1076
The high school athlete has the speed of a banana slug,The high school athlete is fast.,The high school athlete is slow.,a banana slug,A banana slug is fast.,A banana slug is slow.,1,1076
The professor is as engaging as Bill Cosby,The professor is very engaging.,The professor is very dry.,Bill Cosby,Bill cosby is very engaging.,Bill cosby is very dry.,0,1077
The professor is as engaging as a dictionary,The professor is very engaging.,The professor is very dry.,a dictionary,A dictionary is very engaging.,A dictionary is very dry.,1,1077
Jim is a rusty toolbox.,Jim is useless.,Jim is useful.,a rusty toolbox,A rusty toolbox is useless.,A rusty toolbox is useful.,0,1079
Jim is a cabinet full of tools.,Jim is useless.,Jim is useful.,a cabinet full of tools,A cabinet full of tools is useless.,A cabinet full of tools is useful.,1,1079
His eyes move like a hummingbird's wings,His eyes move rapidly,His eyes move slowly,a hummingbird's wings,A hummingbird's wings move rapidly,A hummingbird's wings move slowly,0,1083
His eyes move like a giant sloth,His eyes move rapidly,His eyes move slowly,a giant sloth,A giant sloth move rapidly,A giant sloth move slowly,1,1083
The table is a bed of rocks.,The table is bumpy.,The table is smooth.,a bed of rocks,A bed of rocks is bumpy.,A bed of rocks is smooth.,0,1084
The table is a sheet of glass.,The table is bumpy.,The table is smooth.,a sheet of glass,A sheet of glass is bumpy.,A sheet of glass is smooth.,1,1084
This is about as legal as the supreme court.,It's very legal.,It's very illegal.,the supreme court,The supreme court's very legal.,The supreme court's very illegal.,0,1086
This is about as legal as a bank robbery.,It's very legal.,It's very illegal.,a bank robbery,A bank robbery's very legal.,A bank robbery's very illegal.,1,1086
This is as fun as a bowl of nachos.,It's very fun.,It's not fun at all.,a bowl of nachos,A bowl of nachos's very fun.,A bowl of nachos's not fun at all.,0,1088
He's smart as a whip,He's very smart,He's not smart at all,a whip,A whip's very smart,A whip's not smart at all,0,1096
He's smart as a brick,He's very smart,He's not smart at all,a brick,A brick's very smart,A brick's not smart at all,1,1096
The actor was as famous as Jesus Christ.,The actor was known widely and had the same following/influence as a religious figure.,The actor was known only by a few people and only had a very small amount of influence.,Jesus Christ,Jesus christ was known widely and had the same following/influence as a religious figure.,Jesus christ was known only by a few people and only had a very small amount of influence.,0,1099
The actor was as famous as the local mailman.,The actor was known widely and had the same following/influence as a religious figure.,The actor was known only by a few people and only had a very small amount of influence.,the local mailman,The local mailman was known widely and had the same following/influence as a religious figure.,The local mailman was known only by a few people and only had a very small amount of influence.,1,1099
The shopping list was as detailed as the Constitution.,The shopping list was orderly written with specific details.,The shopping list was unorganized and thrown together with not much attention to detail.,the Constitution,The constitution was orderly written with specific details.,The constitution was unorganized and thrown together with not much attention to detail.,0,1100
The shopping list was as detailed as a toddler's letter to Santa.,The shopping list was orderly written with specific details.,The shopping list was unorganized and thrown together with not much attention to detail.,a toddler's letter to Santa,A toddler's letter to santa was orderly written with specific details.,A toddler's letter to santa was unorganized and thrown together with not much attention to detail.,1,1100
The homework assignment was as difficult as an end-of-the-year project.,The homework assignment was very difficult and required a lot of effort and a lot of time.,The homework assignment was very easy and required very little effort and time.,an end-of-the-year project,An end-of-the-year project was very difficult and required a lot of effort and a lot of time.,An end-of-the-year project was very easy and required very little effort and time.,0,1101
She is a porcelain plate.,She is delicate.,She is tough.,a porcelain plate,A porcelain plate is delicate.,A porcelain plate is tough.,0,1102
She is a pizza pan.,She is delicate.,She is tough.,a pizza pan,A pizza pan is delicate.,A pizza pan is tough.,1,1102
The blanket was as soft as a marshmallow,The blanket was super soft.,The blanket was not soft at all.,a marshmallow,A marshmallow was super soft.,A marshmallow was not soft at all.,0,1106
The blanket was as soft as a crocodile's armor,The blanket was super soft.,The blanket was not soft at all.,a crocodile's armor,A crocodile's armor was super soft.,A crocodile's armor was not soft at all.,1,1106
The politician has the transparency of a pane of glass,The politician is very transparent,The politician is not transparent,a pane of glass,A pane of glass is very transparent,A pane of glass is not transparent,0,1111
The politician has the transparency of a metal door,The politician is very transparent,The politician is not transparent,a metal door,A metal door is very transparent,A metal door is not transparent,1,1111
The letter had the depth of a tide pool.,The letter was superficial.,The letter was profound.,a tide pool,A tide pool was superficial.,A tide pool was profound.,0,1115
The letter had the depth of the bottom of the sea.,The letter was superficial.,The letter was profound.,the bottom of the sea,The bottom of the sea was superficial.,The bottom of the sea was profound.,1,1115
The professor had the depth of a bath tub.,The professor was boring.,The professor was profound.,a bath tub,A bath tub was boring.,A bath tub was profound.,0,1116
The professor had the depth of the Mariana Trench.,The professor was boring.,The professor was profound.,the Mariana Trench,The mariana trench was boring.,The mariana trench was profound.,1,1116
He sang like a robot in need of an update.,He was very emotional while singing.,He was not emotional at all.,a robot in need of an update,A robot in need of an update was very emotional while singing.,A robot in need of an update was not emotional at all.,1,1118
The sunset had the hue of a bowl of fresh picked oranges,The sunset was very orange,The sunset was hardly orange at all,a bowl of fresh picked oranges,A bowl of fresh picked oranges was very orange,A bowl of fresh picked oranges was hardly orange at all,0,1121
"The sunset had the hue of a bowl of rotten, six week old oranges",The sunset was very orange,The sunset was hardly orange at all,"a bowl of rotten, six week old oranges","A bowl of rotten, six week old oranges was very orange","A bowl of rotten, six week old oranges was hardly orange at all",1,1121
Their arrival was like a cool hand on a feverish forehead.,Their arrival was soothing and welcome.,Their arrival was boring.,a cool hand on a feverish forehead,A cool hand on a feverish forehead was soothing and welcome.,A cool hand on a feverish forehead was boring.,0,1125
Their arrival was like a kernel stuck in your teeth.,Their arrival was soothing and welcome.,Their arrival was boring.,a kernel stuck in your teeth,A kernel stuck in your teeth was soothing and welcome.,A kernel stuck in your teeth was boring.,1,1125
The rustling was as loud as a power lawn mower,The rustling was obnoxiously loud.,The rustling was very quiet.,a power lawn mower,A power lawn mower was obnoxiously loud.,A power lawn mower was very quiet.,0,1126
The rustling was as loud as a library,The rustling was obnoxiously loud.,The rustling was very quiet.,a library,A library was obnoxiously loud.,A library was very quiet.,1,1126
The man's room looked like a junkyard,The man's room was a mess.,The man's room was well organized.,a junkyard,A junkyard was a mess.,A junkyard was well organized.,0,1140
The man's room looked like a classroom on the first day of school,The man's room was a mess.,The man's room was well organized.,a classroom on the first day of school,A classroom on the first day of school was a mess.,A classroom on the first day of school was well organized.,1,1140
The priest had the disposition of a dictator.,The priest was authoritarian and sought to get his way above all else.,"The priest was gentle, loving, and humble.",a dictator,A dictator was authoritarian and sought to get his way above all else.,"A dictator was gentle, loving, and humble.",0,1142
The priest had the disposition of Christ himself.,The priest was authoritarian and sought to get his way above all else.,"The priest was gentle, loving, and humble.",Christ himself,Christ himself was authoritarian and sought to get his way above all else.,"Christ himself was gentle, loving, and humble.",1,1142
The book had the clarity of glass,The book was clear and easy to understand,The book was confusing and hard to understand,glass,Glass was clear and easy to understand,Glass was confusing and hard to understand,0,1152
The book had the clarity of mud,The book was clear and easy to understand,The book was confusing and hard to understand,mud,Mud was clear and easy to understand,Mud was confusing and hard to understand,1,1152
The phone had all the charge of a nuclear power plant before a meltdown,The phone has a lot of charge,The phone has no charge,a nuclear power plant ,A nuclear power plant has a lot of charge,A nuclear power plant has no charge,0,1160
This book has the originality of a copy machine,This book is predictable and overdone,This book has nothing like it,a copy machine,A copy machine is predictable and overdone,A copy machine has nothing like it,0,1161
This book has the originality of a snowflake,This book is predictable and overdone,This book has nothing like it,a snowflake,A snowflake is predictable and overdone,A snowflake has nothing like it,1,1161
That flower has the beauty of a peacock sitting in a weeping willow under a rainbow,The flower is beautiful and rare,That flower is disgusting,a peacock sitting in a weeping willow under a rainbow,A peacock sitting in a weeping willow under a rainbow is beautiful and rare,A peacock sitting in a weeping willow under a rainbow is disgusting,0,1162
That flower has the beauty of the bottom of an empty dumpster,The flower is beautiful and rare,That flower is disgusting,the bottom of an empty dumpster,The bottom of an empty dumpster is beautiful and rare,The bottom of an empty dumpster is disgusting,1,1162
It was as challenging as Mt. Everest,It was difficult.,It was easy.,Mt. Everest,Mt. everest was difficult.,Mt. everest was easy.,0,1164
The movie has the speed of a dead chicken.,The movie is slow.,The movie is fast-paced.,a dead chicken,A dead chicken is slow.,A dead chicken is fast-paced.,0,1167
The movie has the speed of a Lamborghini.,The movie is slow.,The movie is fast-paced.,a Lamborghini,A lamborghini is slow.,A lamborghini is fast-paced.,1,1167
The car is a pile of dog poop.,The car is trash.,The car is wonderful.,a pile of dog poop,A pile of dog poop is trash.,A pile of dog poop is wonderful.,0,1171
The car is a treasure chest.,The car is trash.,The car is wonderful.,a treasure chest,A treasure chest is trash.,A treasure chest is wonderful.,1,1171
The cat is a  wooly mammoth.,The cat is hairy.,The cat is bald.,a  wooly mammoth,A  wooly mammoth is hairy.,A  wooly mammoth is bald.,0,1172
The cat is a naked mole rat.,The cat is hairy.,The cat is bald.,a naked mole rat,A naked mole rat is hairy.,A naked mole rat is bald.,1,1172
Toddlers are angels in human form.,Toddlers are innocent and sweet.,Toddlers are unpleasant and evil.,angels in human form,Angels in human form are innocent and sweet.,Angels in human form are unpleasant and evil.,0,1177
Toddlers are devils in human form.,Toddlers are innocent and sweet.,Toddlers are unpleasant and evil.,devils in human form,Devils in human form are innocent and sweet.,Devils in human form are unpleasant and evil.,1,1177
That man had all the charm of skunk spray.,He was not charming at all.,He was very charming.,skunk spray,Skunk spray was not charming at all.,Skunk spray was very charming.,0,1178
That man had all the charm of a chocolate strawberry.,He was not charming at all.,He was very charming.,a chocolate strawberry,A chocolate strawberry was not charming at all.,A chocolate strawberry was very charming.,1,1178
The cat is as small as a hippopotamus.,The cat is very large.,The cat is tiny.,a hippopotamus,A hippopotamus is very large.,A hippopotamus is tiny.,0,1179
The cat is as small as an ant.,The cat is very large.,The cat is tiny.,an ant,An ant is very large.,An ant is tiny.,1,1179
The field is as green as a school bus.,The field is yellow and dying.,The field is bright green.,a school bus,A school bus is yellow and dying.,A school bus is bright green.,0,1180
The field is as green as a tree frog.,The field is yellow and dying.,The field is bright green.,a tree frog,A tree frog is yellow and dying.,A tree frog is bright green.,1,1180
The car was a cheetah,The car was fast,The car was slow,a cheetah,A cheetah was fast,A cheetah was slow,0,1182
The car was a slug,The car was fast,The car was slow,a slug,A slug was fast,A slug was slow,1,1182
The meaning of life is quantum theory.,The meaning of life is complicated,The meaning of life is simple,quantum theory,Quantum theory is complicated,Quantum theory is simple,0,1183
"The meaning of life is duck, duck, goose",The meaning of life is complicated,The meaning of life is simple,"duck, duck, ","Duck, duck, is complicated","Duck, duck, is simple",1,1183
He smelled like success,He smelled good.,He smelled bad.,success,Success smelled good.,Success smelled bad.,0,1184
He smelled like defeat,He smelled good.,He smelled bad.,defeat,Defeat smelled good.,Defeat smelled bad.,1,1184
The chapter has the depth of a bathtub.,The chapter is boring.,The chapter is profound.,a bathtub,A bathtub is boring.,A bathtub is profound.,0,1201
The chapter has the depth of the sea.,The chapter is boring.,The chapter is profound.,the sea,The sea is boring.,The sea is profound.,1,1201
The driveway is a ski slope.,The driveway is steep.,The driveway is flat.,a ski slope,A ski slope is steep.,A ski slope is flat.,0,1202
The driveway is a plain.,The driveway is steep.,The driveway is flat.,a plain,A plain is steep.,A plain is flat.,1,1202
The sandwich is as thick as a dictionary,the sandwich is huge,the sandwich is thin,a dictionary,A dictionary is huge,A dictionary is thin,0,1204
The sandwich is as thick as a veil,the sandwich is huge,the sandwich is thin,a veil,A veil is huge,A veil is thin,1,1204
The tea tastes like paper,the tea is flavorless,the tea has interesting flavors,paper,Paper is flavorless,Paper has interesting flavors,0,1205
The tea tastes like the tropics,the tea is flavorless,the tea has interesting flavors,the tropics,The tropics is flavorless,The tropics has interesting flavors,1,1205
The sandwich bread had the thickness of a car tire,The bread was thick,The bread was thin,a car tire,A car tire was thick,A car tire was thin,0,1206
The sandwich bread had the thickness of a wood shaving,The bread was thick,The bread was thin,a wood shaving,A wood shaving was thick,A wood shaving was thin,1,1206
The woman's waistline had the width of a toothpick,The waistline was small,The waistline was large,a toothpick,A toothpick was small,A toothpick was large,0,1208
The woman's waistline had the width of the equator,The waistline was small,The waistline was large,the equator,The equator was small,The equator was large,1,1208
The conversation was as shallow as a bird bath,The conversation was superficial,The conversation was intriguing,a bird bath,A bird bath was superficial,A bird bath was intriguing,0,1210
The conversation was a deep rabbit hole,The conversation was superficial,The conversation was intriguing,a deep rabbit hole,A deep rabbit hole was superficial,A deep rabbit hole was intriguing,1,1210
Her pillow is a rock,The pillow is hard,The pillow is soft,a rock,A rock is hard,A rock is soft,0,1213
Her pillow is a marshmallow,The pillow is hard,The pillow is soft,a marshmallow,A marshmallow is hard,A marshmallow is soft,1,1213
The air is a warm hug,The air is warm and cozy,The air is cold and irritating,a warm hug,A warm hug is warm and cozy,A warm hug is cold and irritating,0,1214
The air is a biting fly,The air is warm and cozy,The air is cold and irritating,a biting fly,A biting fly is warm and cozy,A biting fly is cold and irritating,1,1214
The sandwich was a mother's hug.,The sandwich was delicious and comforting.,The sandwich was painfully unpleasant.,a mother's hug,A mother's hug was delicious and comforting.,A mother's hug was painfully unpleasant.,0,1215
The sandwich was a fist to the face.,The sandwich was delicious and comforting.,The sandwich was painfully unpleasant.,a fist to the face,A fist to the face was delicious and comforting.,A fist to the face was painfully unpleasant.,1,1215
The shower had the moisture of a greenhouse in a hurricane,The shower was moist,The shower had little moisture,a greenhouse ,A greenhouse was moist,A greenhouse had little moisture,0,1218
The shower had the moisture of a pizza left in the oven for an hour,The shower was moist,The shower had little moisture,a pizza left in the oven for an hour,A pizza left in the oven for an hour was moist,A pizza left in the oven for an hour had little moisture,1,1218
The ball was a trampoline,The ball was bouncy,The ball was not bouncy,a trampoline,A trampoline was bouncy,A trampoline was not bouncy,0,1219
The ball was a brick of lead,The ball was bouncy,The ball was not bouncy,a brick of lead,A brick of lead was bouncy,A brick of lead was not bouncy,1,1219
She's as cool as Antarctica.,She's very cool.,She's not very cool.,Antarctica,Antarctica's very cool.,Antarctica's not very cool.,0,1233
She's as cool as the Sahara.,She's very cool.,She's not very cool.,the Sahara,The sahara's very cool.,The sahara's not very cool.,1,1233
Rest is a sky full of clouds.,Rest is very restful.,Rest is restless.,a sky full of clouds,A sky full of clouds is very restful.,A sky full of clouds is restless.,0,1241
Her nail polish was as shiny as aluminium foil,Her nail polish was shiny,Her nail polish was dull,aluminium foil,Aluminium foil was shiny,Aluminium foil was dull,0,1243
