startphrase,ending1,ending2,object,modified_1,modified_2,verb_1,verb_2,labels,qid,result
He has the discipline of a Buddhist monk.,He's extremely disciplined.,He's not disciplined at all.,a Buddhist monk,A buddhist monk's extremely disciplined.,A buddhist monk's not disciplined at all.,disciplined,disciplined,0,877,1
He has the discipline of a wild hyena.,He's extremely disciplined.,He's not disciplined at all.,a wild hyena,A wild hyena's extremely disciplined.,A wild hyena's not disciplined at all.,disciplined,disciplined,1,877,0
The pepper is an inferno,The pepper is super spicy,The pepper is not spicy,an inferno,An inferno is super spicy,An inferno is not spicy,is,is,0,878,0
The pepper is an ice cube,The pepper is super spicy,The pepper is not spicy,an ice cube,An ice cube is super spicy,An ice cube is not spicy,is,is,1,878,1
He has all the anger of a beaten dog,He's very angry,He's not at all angry,a beaten dog,A beaten dog's very angry,A beaten dog's not at all angry,dog,'s,0,883,1
He has all the anger of a happy butterfly,He's very angry,He's not at all angry,a happy butterfly,A happy butterfly's very angry,A happy butterfly's not at all angry,butterfly,'s,1,883,0
Her hair has the oil of the Gulf of Mexico in April 2010,Her hair is oily,Her hair is oil free,the Gulf of Mexico ,The gulf of mexico is oily,The gulf of mexico is oil free,is,is,0,885,1
Her hair has the oil of Dawn dish detergent,Her hair is oily,Her hair is oil free,Dawn ,Dawn is oily,Dawn is oil free,is,is,1,885,0
The church was as orthodox as an occult meeting.,The church was heretical and move beyond the boundaries of accepted teachings.,The church was within the boundaries of accepted teachings and were in line with the Great Tradition.,an occult meeting,An occult meeting was heretical and move beyond the boundaries of accepted teachings.,An occult meeting was within the boundaries of accepted teachings and were in line with the great tradition.,was,was,0,886,1
The church was as orthodox as the ancient church fathers.,The church was heretical and move beyond the boundaries of accepted teachings.,The church was within the boundaries of accepted teachings and were in line with the Great Tradition.,the ancient church fathers,The ancient church fathers was heretical and move beyond the boundaries of accepted teachings.,The ancient church fathers was within the boundaries of accepted teachings and were in line with the great tradition.,was,was,1,886,0
The girl's tongue was as sharp as a sword,The girls tongue was very sharp.,The girl's tongue wasn't sharp at all.,a sword,A sword was very sharp.,A sword wasn't sharp at all.,was,was,0,890,1
The girl's tongue was as sharp as a pillow,The girls tongue was very sharp.,The girl's tongue wasn't sharp at all.,a pillow,A pillow was very sharp.,A pillow wasn't sharp at all.,was,was,1,890,0
He is as spiritual as a buddha,He is very religious,He is not religious,a buddha,A buddha is very religious,A buddha is not religious,is,is,0,892,0
He is as spiritual as my dog,He is very religious,He is not religious,my dog,My dog is very religious,My dog is not religious,is,is,1,892,0
His thoughts flowed like the sands in an hourglass,His thoughts flowed smoothly and steadily.,His thoughts were all over the place.,the sands ,The sands flowed smoothly and steadily.,The sands were all over the place.,flowed,were,0,897,0
His thoughts flowed like a break dance monkey,His thoughts flowed smoothly and steadily.,His thoughts were all over the place.,a break dance monkey,A break dance monkey flowed smoothly and steadily.,A break dance monkey were all over the place.,flowed,were,1,897,1
He has the spirituality of the Pope after getting a vision from God,He is very spiritual,He is not spiritual at all,the Pope ,The pope is very spiritual,The pope is not spiritual at all,is,is,0,910,1
He has the spirituality of an Athiest who burns down churches,He is very spiritual,He is not spiritual at all,an Athiest who burns down churches,An athiest who burns down churches is very spiritual,An athiest who burns down churches is not spiritual at all,is,is,1,910,0
The film had the runtime of the lifetime of a hundred suns,The film was very long,The film was quite short,the lifetime of a hundred suns,The lifetime of a hundred suns was very long,The lifetime of a hundred suns was quite short,was,was,0,911,1
The film had the runtime of the distance an ant travels in a minute,The film was very long,The film was quite short,the distance ,The distance was very long,The distance was quite short,was,was,1,911,1
The doctor is as friendly as a swarm of wasps.,The doctor is mean.,The doctor is lovable.,a swarm of wasps,A swarm of wasps is mean.,A swarm of wasps is lovable.,is,is,0,913,1
The doctor is as friendly as a pack of puppies.,The doctor is mean.,The doctor is lovable.,a pack of puppies,A pack of puppies is mean.,A pack of puppies is lovable.,is,is,1,913,0
His speech had the urgency of a man who has to urinate,His speech had a lot of urgency,His speech had no urgency,a man who has to urinate,A man who has to urinate had a lot of urgency,A man who has to urinate had no urgency,had,had,0,924,0
His speech had the urgency of a far away deadline,His speech had a lot of urgency,His speech had no urgency,a far away deadline,A far away deadline had a lot of urgency,A far away deadline had no urgency,had,had,1,924,1
This work of art is as brilliant as a goldfish.,This work of art is dumb.,This work of art is a masterpiece.,a goldfish,A goldfish is dumb.,A goldfish is a masterpiece.,is,is,0,925,1
This work of art is as brilliant as the Taj Mahal.,This work of art is dumb.,This work of art is a masterpiece.,the Taj Mahal,The taj mahal is dumb.,The taj mahal is a masterpiece.,is,is,1,925,1
She was as friendly as An old angry cat,She wasn't kind at all,She was happy to see us,An old angry cat,An old angry cat wasn't kind at all,An old angry cat was happy to see us,was,was,0,933,0
She was as friendly as A newborn puppy,She wasn't kind at all,She was happy to see us,A newborn puppy,A newborn puppy wasn't kind at all,A newborn puppy was happy to see us,was,was,1,933,1
She has the attention span of A gnat,She has a short attention span,She has a long attention span,A gnat,A gnat has a short attention span,A gnat has a long attention span,has,has,0,935,1
She has the attention span of a dolphin,She has a short attention span,She has a long attention span,a dolphin,A dolphin has a short attention span,A dolphin has a long attention span,has,has,1,935,0
The house is the age of a mummy from ancient Egypt,The house is old,The house is young,the age of a mummy from ancient Egypt,The age of a mummy from ancient egypt is old,The age of a mummy from ancient egypt is young,is,is,0,936,1
The house is the age of The Mummy starring Tom Cruise,The house is old,The house is young,the age of The Mummy starring Tom Cruise,The age of the mummy starring tom cruise is old,The age of the mummy starring tom cruise is young,is,is,1,936,0
The ballerina had the elegance and grace of a flamingo.,The ballerina was graceful.,The ballerina was clumsy.,a flamingo,A flamingo was graceful.,A flamingo was clumsy.,was,was,0,941,0
The ballerina had the elegance and grace of a hippopotamus.,The ballerina was graceful.,The ballerina was clumsy.,a hippopotamus,A hippopotamus was graceful.,A hippopotamus was clumsy.,was,was,1,941,1
The dog is as courageous as the cowardly lion.,The dog is cowardly.,The dog is very brave.,the cowardly lion,The cowardly lion is cowardly.,The cowardly lion is very brave.,is,is,0,944,1
The dog is as courageous as an entire army.,The dog is cowardly.,The dog is very brave.,an entire army,An entire army is cowardly.,An entire army is very brave.,is,is,1,944,0
The balloon had the floating ability of Aquaman beneath the water,The balloon is good at floating,The balloon floats poorly,Aquaman ,Aquaman is good at floating,Aquaman floats poorly,is,floats,0,957,1
The balloon had the floating ability of Aquaman on land,The balloon is good at floating,The balloon floats poorly,Aquaman ,Aquaman is good at floating,Aquaman floats poorly,is,floats,1,957,0
The metal is a snakeskin.,The metal is rough.,The metal is smooth.,a snakeskin,A snakeskin is rough.,A snakeskin is smooth.,is,is,0,966,0
The metal is a mirror.,The metal is rough.,The metal is smooth.,a mirror,A mirror is rough.,A mirror is smooth.,is,is,1,966,0
The place was as joyful as a party,The place was joyful.,The place was miserable.,a party,A party was joyful.,A party was miserable.,was,was,0,979,0
The place was as joyful as a funeral,The place was joyful.,The place was miserable.,a funeral,A funeral was joyful.,A funeral was miserable.,was,was,1,979,0
He's as cute as a red panda!,He was very cute.,He was not very cute.,a red panda,A red panda was very cute.,A red panda was not very cute.,was,was,0,983,1
He's as cute as a blobfish.,He was very cute.,He was not very cute.,a blobfish,A blobfish was very cute.,A blobfish was not very cute.,was,was,1,983,0
The metal has the strength of Hercules.,The metal is very strong,The metal is very weak,Hercules,Hercules is very strong,Hercules is very weak,is,is,0,985,1
The metal has the strength of a wet angel hair pasta noodle.,The metal is very strong,The metal is very weak,a wet angel hair pasta noodle,A wet angel hair pasta noodle is very strong,A wet angel hair pasta noodle is very weak,is,is,1,985,0
The project is as favorable as my enemy,The project is not favorable,The project is favorable,my enemy,My enemy is not favorable,My enemy is favorable,is,is,0,996,0
The project is as favorable as my game,The project is not favorable,The project is favorable,my game,My game is not favorable,My game is favorable,is,is,1,996,1
He's as bright as the north star.,He's very smart.,He's not very smart.,the north star,The north star's very smart.,The north star's not very smart.,star,'s,0,1002,0
He's as bright as a dead lightbulb.,He's very smart.,He's not very smart.,a dead lightbulb,A dead lightbulb's very smart.,A dead lightbulb's not very smart.,lightbulb,'s,1,1002,1
The rabbit has the speed of a racecar,The rabbit is fast,The rabbit is slow,a racecar,A racecar is fast,A racecar is slow,is,is,0,1005,1
The rabbit has the speed of a sloth,The rabbit is fast,The rabbit is slow,a sloth,A sloth is fast,A sloth is slow,is,is,1,1005,0
The duck had all the noisiness of a racecar honking every time it passes a blade of grass,The duck is noisy,The duck is quiet,a racecar honking ,A racecar honking is noisy,A racecar honking is quiet,is,is,0,1008,0
The duck had all the noisiness of a stack of papers beneath a paperweight,The duck is noisy,The duck is quiet,a stack of papers ,A stack of papers is noisy,A stack of papers is quiet,is,is,1,1008,0
The novel has the emotional relatability of a boa constrictor.,The novel is not relatable.,The novel is relatable.,a boa constrictor,A boa constrictor is not relatable.,A boa constrictor is relatable.,is,is,0,1014,0
The novel has the emotional relatability of an old friend.,The novel is not relatable.,The novel is relatable.,an old friend,An old friend is not relatable.,An old friend is relatable.,is,is,1,1014,1
The house is as large as the Grand Canyon,The house is enormous.,The house is tiny.,the Grand Canyon,The grand canyon is enormous.,The grand canyon is tiny.,is,is,0,1021,1
The house is as large as a mousetrap,The house is enormous.,The house is tiny.,a mousetrap,A mousetrap is enormous.,A mousetrap is tiny.,is,is,1,1021,1
The movie has the depth of a Dick and Jane book,The movie is simplistic.,The movie has a deep plot.,a Dick and Jane book,A dick and jane book is simplistic.,A dick and jane book has a deep plot.,is,has,0,1025,1
The movie has the depth of a Shakespearean play,The movie is simplistic.,The movie has a deep plot.,a Shakespearean play,A shakespearean play is simplistic.,A shakespearean play has a deep plot.,is,has,1,1025,0
"The sponge has the absorption of a fat man at an ""All You Can Eat"" buffet",The sponge has high absorbance,The sponge can absorb little,a fat man ,A fat man has high absorbance,A fat man can absorb little,has,absorb,0,1034,0
The sponge has the absorption of a one-ply piece of toilet paper,The sponge has high absorbance,The sponge can absorb little,a one-ply piece of toilet paper,A one-ply piece of toilet paper has high absorbance,A one-ply piece of toilet paper can absorb little,has,absorb,1,1034,0
The girl was as knowledgeable as Google,The girl was extremely smart.,The girl was ignorant.,Google,Google was extremely smart.,Google was ignorant.,was,was,0,1038,0
The girl was as knowledgeable as un untrained puppy,The girl was extremely smart.,The girl was ignorant.,un untrained puppy,Un untrained puppy was extremely smart.,Un untrained puppy was ignorant.,was,was,1,1038,1
The atmosphere in Mexico City is glass,The atmosphere is smoggy,The atmosphere is clean,glass,Glass is smoggy,Glass is clean,is,is,1,1042,1
The flower has the aroma of a mother's kiss,The flower smells good,The flower smells bad,a mother's kiss,A mother's kiss smells good,A mother's kiss smells bad,smells,smells,0,1043,1
The flower has the aroma of satan's kiss,The flower smells good,The flower smells bad,satan's kiss,Satan's kiss smells good,Satan's kiss smells bad,smells,smells,1,1043,0
The relationship had the length of a marathon,The relationship was long,The relationship was short,a marathon,A marathon was long,A marathon was short,was,was,0,1044,1
The relationship had the length of paper clip,The relationship was long,The relationship was short,paper clip,Paper clip was long,Paper clip was short,was,was,1,1044,1
George hit the ground like a ton of bricks,George hit the ground hard,George hit the ground softly,a ton of bricks,A ton of bricks hit the ground hard,A ton of bricks hit the ground softly,hit,hit,0,1049,1
George hit the ground like a feather,George hit the ground hard,George hit the ground softly,a feather,A feather hit the ground hard,A feather hit the ground softly,hit,hit,1,1049,0
The movie has the depth of a one dimensional cartoon character.,The movie is boring,The movie is profound,a one dimensional cartoon character,A one dimensional cartoon character is boring,A one dimensional cartoon character is profound,is,is,0,1050,1
The movie has the depth of an all encompassing black hole of outer space.,The movie is boring,The movie is profound,an all encompassing black hole of outer space,An all encompassing black hole of outer space is boring,An all encompassing black hole of outer space is profound,is,is,1,1050,1
The writer had the depth of an empty bathtub.,The writer was dull.,The writer was profound.,an empty bathtub,An empty bathtub was dull.,An empty bathtub was profound.,was,was,0,1053,0
The writer had the depth of the Mariana Trench.,The writer was dull.,The writer was profound.,the Mariana Trench,The mariana trench was dull.,The mariana trench was profound.,was,was,1,1053,1
The cheerleader had the depth of an empty sink.,The cheerleader was superficial.,The cheerleader was profound.,an empty sink,An empty sink was superficial.,An empty sink was profound.,was,was,0,1054,0
The cheerleader had the depth of the bottom of the ocean.,The cheerleader was superficial.,The cheerleader was profound.,the bottom of the ocean,The bottom of the ocean was superficial.,The bottom of the ocean was profound.,was,was,1,1054,1
The homework has the complexity of a rock,The homework is impossible to fully understand,The homework is simple and straightforward,a rock,A rock is impossible to fully understand,A rock is simple and straightforward,is,is,1,1062,1
That wave is the Sears Tower,the wave is tall,the wave is short,the Sears Tower,The sears tower is tall,The sears tower is short,is,is,0,1066,1
That wave is an anthill,the wave is tall,the wave is short,an anthill,An anthill is tall,An anthill is short,is,is,1,1066,1
The counter is a snake,The counter is curvy.,The counter is straight.,a snake,A snake is curvy.,A snake is straight.,is,is,0,1085,0
The counter is a ruler.,The counter is curvy.,The counter is straight.,a ruler,A ruler is curvy.,A ruler is straight.,is,is,1,1085,1
It's about as warm as an egg in a frying pan.,It's very hot.,It's not hot at all.,an egg ,An egg's very hot.,An egg's not hot at all.,egg,'s,0,1087,1
It's about as warm as an icecube.,It's very hot.,It's not hot at all.,an icecube,An icecube's very hot.,An icecube's not hot at all.,icecube,icecube,1,1087,0
That book has the affect of A sleeping pill,The book is boring,The book is exciting,A sleeping pill,A sleeping pill is boring,A sleeping pill is exciting,is,is,0,1092,1
That book has the affect of A caffine pill,The book is boring,The book is exciting,A caffine pill,A caffine pill is boring,A caffine pill is exciting,is,is,1,1092,1
He's as deep as a puddle,He's not a deep thinker,He's a very deep thinker,a puddle,A puddle's not a deep thinker,A puddle's a very deep thinker,'s,'s,0,1098,1
He's as deep as the sea,He's not a deep thinker,He's a very deep thinker,the sea,The sea's not a deep thinker,The sea's a very deep thinker,'s,thinker,1,1098,0
That teacher is Google.,That teacher is knowledgeable.,That teacher is out-of-date.,Google,Google is knowledgeable.,Google is out-of-date.,is,is,0,1103,1
That teacher is America Online.,That teacher is knowledgeable.,That teacher is out-of-date.,America Online,America online is knowledgeable.,America online is out-of-date.,is,is,1,1103,1
Your momma is a hot air balloon.,Your momma is bloated.,Your momma is sexy.,a hot air balloon,A hot air balloon is bloated.,A hot air balloon is sexy.,bloated,is,0,1104,0
Your momma is a slick lynx.,Your momma is bloated.,Your momma is sexy.,a slick lynx,A slick lynx is bloated.,A slick lynx is sexy.,bloated,is,1,1104,1
The hotel bed was as luxurious as 24 karat gold,The bed was very luxurious.,The hotel bed was not luxurious at all.,24 karat gold,24 karat gold was very luxurious.,24 karat gold was not luxurious at all.,was,was,0,1107,1
The hotel bed was as luxurious as a sleeping bag,The bed was very luxurious.,The hotel bed was not luxurious at all.,a sleeping bag,A sleeping bag was very luxurious.,A sleeping bag was not luxurious at all.,was,was,1,1107,0
The dress had the thickness of cellophane.,The dress was sheer.,The dress was solid.,cellophane,Cellophane was sheer.,Cellophane was solid.,was,was,0,1114,0
The dress had the thickness of a solid piece of wood.,The dress was sheer.,The dress was solid.,a solid piece of wood,A solid piece of wood was sheer.,A solid piece of wood was solid.,was,was,1,1114,1
Darcy had the dancing skill of Michael Jackson with bionic legs,Darcy is a great dancer,Darcy can hardly dance at all,Michael Jackson ,Michael jackson is a great dancer,Michael jackson can hardly dance at all,is,dance,0,1120,1
Darcy had the dancing skill of a six-legged spider on crutches,Darcy is a great dancer,Darcy can hardly dance at all,a six-legged spider on crutches,A six-legged spider on crutches is a great dancer,A six-legged spider on crutches can hardly dance at all,is,dance,1,1120,0
My anger is like a universe.,My anger is vast.,My anger is fluctuating.,a universe,A universe is vast.,A universe is fluctuating.,is,fluctuating,0,1124,1
My anger is like a bobbing wave.,My anger is vast.,My anger is fluctuating.,a bobbing wave,A bobbing wave is vast.,A bobbing wave is fluctuating.,is,fluctuating,1,1124,0
He was as angry as a wild beast,He was angry,"He was calm, and not angry",a wild beast,A wild beast was angry,"A wild beast was calm, and not angry",was,was,0,1133,1
He was as angry as a zen master,He was angry,"He was calm, and not angry",a zen master,A zen master was angry,"A zen master was calm, and not angry",was,was,1,1133,0
The woman had the toughness of a rhino.,The woman was very tough.,The woman was not very tough.,a rhino,A rhino was very tough.,A rhino was not very tough.,was,was,0,1136,1
The woman had the toughness of a guinea pig.,The woman was very tough.,The woman was not very tough.,a guinea pig,A guinea pig was very tough.,A guinea pig was not very tough.,was,was,1,1136,0
That man had the reliability of a surgeon with ten years of experience.,The man was very reliable.,The man couldn't be relied on at all.,a surgeon ,A surgeon was very reliable.,A surgeon couldn't be relied on at all.,was,relied,0,1137,1
That man had the reliability of a ten-year old surgeon.,The man was very reliable.,The man couldn't be relied on at all.,a ten-year old surgeon,A ten-year old surgeon was very reliable.,A ten-year old surgeon couldn't be relied on at all.,was,relied,1,1137,0
The CEO was a lumberer.,The CEO was clumsy,The CEO was careful.,a lumberer,A lumberer was clumsy,A lumberer was careful.,was,was,0,1150,0
The CEO was a sculptor.,The CEO was clumsy,The CEO was careful.,a sculptor,A sculptor was clumsy,A sculptor was careful.,was,was,1,1150,1
The man had the coordination of an acrobat,He was very coordinated,He was very uncoordinated,an acrobat,An acrobat was very coordinated,An acrobat was very uncoordinated,was,was,0,1153,0
The man had the coordination of a drunken sailor,He was very coordinated,He was very uncoordinated,a drunken sailor,A drunken sailor was very coordinated,A drunken sailor was very uncoordinated,was,was,1,1153,1
Adam is as strong as a tsunami.,Adam is strong.,Adam is weak.,a tsunami,A tsunami is strong.,A tsunami is weak.,is,is,0,1154,1
Adam is as strong as a gentle wave,Adam is strong.,Adam is weak.,a gentle wave,A gentle wave is strong.,A gentle wave is weak.,is,is,1,1154,0
Lisa is sharp as an axe.,Lisa is smart.,Lisa is dumb.,an axe,An axe is smart.,An axe is dumb.,is,is,0,1155,0
Lisa is sharp as an sponge.,Lisa is smart.,Lisa is dumb.,an sponge,An sponge is smart.,An sponge is dumb.,is,is,1,1155,0
That haunted house has a fear factor of a bunny eating a carrot,The haunted house was mild and tame,The haunted house was scary and sickening,a bunny ,A bunny was mild and tame,A bunny was scary and sickening,was,was,0,1163,1
That haunted house has a fear factor of being force fed roaches by a zombie,The haunted house was mild and tame,The haunted house was scary and sickening,being force ,Being force was mild and tame,Being force was scary and sickening,was,was,1,1163,1
The students are as focused as cardiothoracic surgeons,The students are as focused as can be.,The students have a total lack of focus.,cardiothoracic surgeons,Cardiothoracic surgeons are as focused as can be.,Cardiothoracic surgeons have a total lack of focus.,are,have,0,1170,1
The students are as focused as young puppies,The students are as focused as can be.,The students have a total lack of focus.,young puppies,Young puppies are as focused as can be.,Young puppies have a total lack of focus.,are,have,1,1170,0
The elephant is a whale.,The elephant is large.,The elephant is small.,a whale,A whale is large.,A whale is small.,is,is,0,1173,0
The elephant is a mouse.,The elephant is large.,The elephant is small.,a mouse,A mouse is large.,A mouse is small.,is,is,1,1173,1
The scene was as refreshing as lemonade,The scene was totally refreshing.,The scene wasn't refreshing at all.,lemonade,Lemonade was totally refreshing.,Lemonade wasn't refreshing at all.,was,refreshing,0,1188,1
The scene was as refreshing as an empty glass,The scene was totally refreshing.,The scene wasn't refreshing at all.,an empty glass,An empty glass was totally refreshing.,An empty glass wasn't refreshing at all.,was,refreshing,1,1188,1
The car is a whale,The car is large,The car is small,a whale,A whale is large,A whale is small,is,is,0,1192,0
The car is a amoeba,The car is large,The car is small,a amoeba,A amoeba is large,A amoeba is small,is,is,1,1192,1
The chair's legs are twigs,The legs are thin and brittle,The legs are thick and heavy,twigs,Twigs are thin and brittle,Twigs are thick and heavy,are,are,0,1194,0
The chair's legs are tree trunks,The legs are thin and brittle,The legs are thick and heavy,tree trunks,Tree trunks are thin and brittle,Tree trunks are thick and heavy,are,are,1,1194,1
His smile was a closed door.,His smile was not inviting.,His smile was inviting.,a closed door,A closed door was not inviting.,A closed door was inviting.,inviting,inviting,0,1196,0
His smile was an open door.,His smile was not inviting.,His smile was inviting.,an open door,An open door was not inviting.,An open door was inviting.,inviting,inviting,1,1196,1
That business meeting was a coup d'état,The business meeting was when they betrayed the leader.,The business meeting was when they selected the leader.,a coup d'état,A coup d'état was when they betrayed the leader.,A coup d'état was when they selected the leader.,was,was,0,1197,1
That business meeting was a royal coronation.,The business meeting was when they betrayed the leader.,The business meeting was when they selected the leader.,a royal coronation,A royal coronation was when they betrayed the leader.,A royal coronation was when they selected the leader.,was,was,1,1197,1
The bear is a puppy dog,The bear is sweet and docile,The bear is aggressive,a puppy dog,A puppy dog is sweet and docile,A puppy dog is aggressive,is,is,0,1212,0
The bear is a T-rex,The bear is sweet and docile,The bear is aggressive,a T-rex,A t-rex is sweet and docile,A t-rex is aggressive,is,is,1,1212,1
The razor was sharp like a guillotine,The razor was sharp,The razor was not sharp,a guillotine,A guillotine was sharp,A guillotine was not sharp,was,was,0,1221,1
The razor was sharp like a dull pencil,The razor was sharp,The razor was not sharp,a dull pencil,A dull pencil was sharp,A dull pencil was not sharp,was,was,1,1221,0
Her mind is a steel trap.,"She remembers everything, no matter how insignificant.","She remembers nothing, and has lost half of what she once knew.",a steel trap,"A steel trap remembers everything, no matter how insignificant.","A steel trap remembers nothing, and has lost half of what she once knew.",remembers,remembers,0,1224,1
Her mind is swiss cheese.,"She remembers everything, no matter how insignificant.","She remembers nothing, and has lost half of what she once knew.",swiss cheese,"Swiss cheese remembers everything, no matter how insignificant.","Swiss cheese remembers nothing, and has lost half of what she once knew.",remembers,remembers,1,1224,0
The song was as upbeat as a football game rally,The song was really upbeat.,The song was heavyhanded.,a football game rally,A football game rally was really upbeat.,A football game rally was heavyhanded.,was,heavyhanded,0,1225,0
The song was as upbeat as a funeral hymn,The song was really upbeat.,The song was heavyhanded.,a funeral hymn,A funeral hymn was really upbeat.,A funeral hymn was heavyhanded.,was,heavyhanded,1,1225,0
The razor is a newly polished blade.,The razor is sharp.,The razor is dull.,a newly polished blade,A newly polished blade is sharp.,A newly polished blade is dull.,is,is,0,1227,1
The razor is a pair of rusty kitchen scissors.,The razor is sharp.,The razor is dull.,a pair of rusty kitchen scissors,A pair of rusty kitchen scissors is sharp.,A pair of rusty kitchen scissors is dull.,is,is,1,1227,0
The razor had the sharpness of a sword,The razor was sharp,The razor was dull,a sword,A sword was sharp,A sword was dull,was,was,0,1235,1
The razor had the sharpness of a stone,The razor was sharp,The razor was dull,a stone,A stone was sharp,A stone was dull,was,was,1,1235,0
The razor is a stick of rust,The razor is rusty and old.,The razor is sharp.,a stick of rust,A stick of rust is rusty and old.,A stick of rust is sharp.,is,is,0,1240,0
The razor is a knife.,The razor is rusty and old.,The razor is sharp.,a knife,A knife is rusty and old.,A knife is sharp.,is,is,1,1240,1
He has a heart of stone,He is hard,He is generous,stone,Stone is hard,Stone is generous,is,is,0,1245,1
He has a heart of gold,He is hard,He is generous,gold,Gold is hard,Gold is generous,is,is,1,1245,0
The giraffe is a newborn baby eel.,The giraffe is awkward.,The giraffe is elegant.,a newborn baby eel,A newborn baby eel is awkward.,A newborn baby eel is elegant.,is,is,0,1251,1
The giraffe is a gazelle.,The giraffe is awkward.,The giraffe is elegant.,a gazelle,A gazelle is awkward.,A gazelle is elegant.,is,is,1,1251,0
He's as tall as a giraffe.,He's really tall.,He's really short.,a giraffe,A giraffe's really tall.,A giraffe's really short.,giraffe,giraffe,0,1252,1
He's as tall as a gnome.,He's really tall.,He's really short.,a gnome,A gnome's really tall.,A gnome's really short.,gnome,gnome,1,1252,0
We're as good of friends as two dogs fighting over the last bone.,They're not really good friends at all and are desperate.,They are good friends and are comfortable.,two dogs fighting over the last bone,Two dogs fighting over the last bone're not really good friends at all and are desperate.,Two dogs fighting over the last bone are good friends and are comfortable.,are,are,0,1267,0
She loved me like a mother,She loved me.,She didn't love me at all.,a mother,A mother loved me.,A mother didn't love me at all.,loved,love,0,1272,1
She loved me like a wicked stepmother,She loved me.,She didn't love me at all.,a wicked stepmother,A wicked stepmother loved me.,A wicked stepmother didn't love me at all.,loved,love,1,1272,0
His voice was as quiet as a mouse,His voice was quiet.,His voice was loud.,a mouse,A mouse was quiet.,A mouse was loud.,was,was,0,1273,1
His voice was as quiet as a megaphone,His voice was quiet.,His voice was loud.,a megaphone,A megaphone was quiet.,A megaphone was loud.,was,was,1,1273,1
The meat has the smell of a freshly baked Christmas ham,The meat smells good,The meat smells foul,a freshly baked Christmas ham,A freshly baked christmas ham smells good,A freshly baked christmas ham smells foul,smells,smells,0,1275,1
The meat has the smell of a sweaty pair of running shoes,The meat smells good,The meat smells foul,a sweaty pair of running shoes,A sweaty pair of running shoes smells good,A sweaty pair of running shoes smells foul,smells,smells,1,1275,0
This table has the stability of a mountain,This table is very strong.,This table is very flimsy.,a mountain,A mountain is very strong.,A mountain is very flimsy.,is,is,0,1278,1
This table has the stability of a house of cards.,This table is very strong.,This table is very flimsy.,a house of cards,A house of cards is very strong.,A house of cards is very flimsy.,is,is,1,1278,0
The hockey player was a demolition derby.,The hockey player was sloppy.,The hockey player was careful.,a demolition derby,A demolition derby was sloppy.,A demolition derby was careful.,was,was,0,1288,1
The hockey player was a gazelle.,The hockey player was sloppy.,The hockey player was careful.,a gazelle,A gazelle was sloppy.,A gazelle was careful.,was,was,1,1288,1
He shined like the stars,He shined brightly.,He was dull and didn't shine at all.,the stars,The stars shined brightly.,The stars was dull and didn't shine at all.,shined,was,0,1290,1
He shined like the dirt,He shined brightly.,He was dull and didn't shine at all.,the dirt,The dirt shined brightly.,The dirt was dull and didn't shine at all.,shined,was,1,1290,0
She was as hot as the sun,She was hot,"She was not hot, but cold.",the sun,The sun was hot,"The sun was not hot, but cold.",was,was,0,1291,1
She was as hot as a popsicle,She was hot,"She was not hot, but cold.",a popsicle,A popsicle was hot,"A popsicle was not hot, but cold.",was,was,1,1291,0
The dog has the softness of a feather duster,The dog is soft,The dog isn't soft,a feather duster,A feather duster is soft,A feather duster isn't soft,is,is,0,1293,1
The dog has the softness of an asteroid,The dog is soft,The dog isn't soft,an asteroid,An asteroid is soft,An asteroid isn't soft,is,is,1,1293,0
Life is a wonderful walk,Life is enjoyable,Life is hard,a wonderful walk,A wonderful walk is enjoyable,A wonderful walk is hard,is,is,0,1298,0
Life is an arduous trek,Life is enjoyable,Life is hard,an arduous trek,An arduous trek is enjoyable,An arduous trek is hard,is,is,1,1298,1
Life is a dumpster fire.,Life is trash.,Life is wonderful.,a dumpster fire,A dumpster fire is trash.,A dumpster fire is wonderful.,is,is,0,1303,0
Life is a butterfly.,Life is trash.,Life is wonderful.,a butterfly,A butterfly is trash.,A butterfly is wonderful.,is,is,1,1303,1
Love in marriage is the cherry on top of the sundae,"love in marriage is the best, finishing touch",love in marriage is an unpleasant surprise that ruins it,the cherry on top of the sundae,"The cherry on top of the sundae is the best, finishing touch",The cherry on top of the sundae is an unpleasant surprise that ruins it,is,is,0,1315,1
Love in marriage is the worm inside the pretty apple,"love in marriage is the best, finishing touch",love in marriage is an unpleasant surprise that ruins it,the worm inside the pretty apple,"The worm inside the pretty apple is the best, finishing touch",The worm inside the pretty apple is an unpleasant surprise that ruins it,is,is,1,1315,1
Your first love is an icy road,your first love is dangerous and hard to navigate,your first love is comfortable and comforting,an icy road,An icy road is dangerous and hard to navigate,An icy road is comfortable and comforting,is,is,0,1316,1
Your first love is a warm blanket,your first love is dangerous and hard to navigate,your first love is comfortable and comforting,a warm blanket,A warm blanket is dangerous and hard to navigate,A warm blanket is comfortable and comforting,is,is,1,1316,1
divorce is a rainbow after a storm,divorce is something surprisingly good after something devastating,divorce is the feeling of failing,a rainbow ,A rainbow is something surprisingly good after something devastating,A rainbow is the feeling of failing,is,is,0,1317,0
divorce is a sinking ship,divorce is something surprisingly good after something devastating,divorce is the feeling of failing,a sinking ship,A sinking ship is something surprisingly good after something devastating,A sinking ship is the feeling of failing,is,is,1,1317,1
