modified_1,modified_2,object1,object2,labels,ending,qid,result
A carnival was fun to attend.,A math lecture was fun to attend.,a carnival,a math lecture,0,0,1511,0
A carnival was boring.,A math lecture was boring.,a carnival,a math lecture,1,1,1511,1
Joseph stalin was too harsh and had a lot of authority.,A puppy dog was too harsh and had a lot of authority.,Joseph Stalin,a puppy dog,0,0,1519,0
Joseph stalin had not authority.,A puppy dog had not authority.,Joseph Stalin,a puppy dog,1,1,1519,1
A hot air balloon had a huge ego.,A popped balloon had a huge ego.,a hot air balloon,a popped balloon,0,0,1520,0
A hot air balloon did not have a huge ego.,A popped balloon did not have a huge ego.,a hot air balloon,a popped balloon,1,1,1520,1
A rock completely lacks empathy and emotional consideration for others.,Dr. phil completely lacks empathy and emotional consideration for others.,a rock,Dr. Phil,0,0,1525,0
"A rock is conscious of other people's problems, and reaches out constantly to help them.","Dr. phil is conscious of other people's problems, and reaches out constantly to help them.",a rock,Dr. Phil,1,1,1525,0
The sun is bright,A cave is bright,the sun,a cave,0,0,1527,1
The sun is dark,A cave is dark,the sun,a cave,1,1,1527,0
A concert is loud,A whisper is loud,a concert,a whisper,0,0,1528,0
A concert is quiet,A whisper is quiet,a concert,a whisper,1,1,1528,1
An auditorium is large,A closet is large,an auditorium,a closet,0,0,1529,1
An auditorium is small,A closet is small,an auditorium,a closet,1,1,1529,1
The great pyramids was very old.,A just-born baby was very old.,the Great Pyramids,a just-born baby,0,0,1535,0
The great pyramids was very new.,A just-born baby was very new.,the Great Pyramids,a just-born baby,1,1,1535,1
A puppy was very playful,A rock was very playful,a puppy,a rock,0,0,1558,1
A puppy wasn't playful at all,A rock wasn't playful at all,a puppy,a rock,1,1,1558,0
A mirror was shiny.,A mud pie was shiny.,a mirror,a mud pie,0,0,1575,1
A mirror was dull.,A mud pie was dull.,a mirror,a mud pie,1,1,1575,0
A mirror was shiny.,A mud pie was shiny.,a mirror,a mud pie,0,0,1576,1
A mirror was dull.,A mud pie was dull.,a mirror,a mud pie,1,1,1576,0
A cheetah was very fast,A turtle was very fast,a cheetah,a turtle,0,0,1582,0
A cheetah was very slow,A turtle was very slow,a cheetah,a turtle,1,1,1582,1
A stone is very unfriendly.,Gold is very unfriendly.,a stone,gold,0,0,1585,1
A stone is very kind.,Gold is very kind.,a stone,gold,1,1,1585,0
A sumo wrestler had a ton of weight on her body.,A ballerina had a ton of weight on her body.,a Sumo wrestler,a ballerina,0,0,1595,0
A sumo wrestler was very thin.,A ballerina was very thin.,a Sumo wrestler,a ballerina,1,1,1595,1
A tall tale from paul bunyan is not valid,Einstein's best work is not valid,A tall tale from Paul Bunyan,Einstein's best work,0,0,1604,0
A tall tale from paul bunyan is very solid and valid,Einstein's best work is very solid and valid,A tall tale from Paul Bunyan,Einstein's best work,1,1,1604,1
"A good novel was interesting, well-written, and engaging to the reader.","The work of a middle school journalist was interesting, well-written, and engaging to the reader.",a good novel,the work of a middle school journalist,0,0,1609,0
"A good novel was amateurish, sloppily-written, and simplistic.","The work of a middle school journalist was amateurish, sloppily-written, and simplistic.",a good novel,the work of a middle school journalist,1,1,1609,1
An infinity pool could pay attention for a long time.,An oompa loompa could pay attention for a long time.,an infinity pool,an Oompa Loompa,0,0,1614,1
An infinity pool could not pay attention.,An oompa loompa could not pay attention.,an infinity pool,an Oompa Loompa,1,1,1614,1
A nursing home is senile.,A kindergarten classroom is senile.,a nursing home,a kindergarten classroom,0,0,1616,0
A nursing home is immature.,A kindergarten classroom is immature.,a nursing home,a kindergarten classroom,1,1,1616,1
An artist has a good imagination,A rock has a good imagination,an artist,a rock,0,0,1629,1
An artist has no imagination,A rock has no imagination,an artist,a rock,1,1,1629,1
A raging bull was very mad,A kitten was very mad,a raging bull,a kitten,0,0,1640,0
A raging bull was not mad,A kitten was not mad,a raging bull,a kitten,1,1,1640,1
Two sparkling emeralds were bright green,The waves of the ocean were bright green,two sparkling emeralds,the waves of the ocean,0,0,1644,1
Two sparkling emeralds were blue,The waves of the ocean were blue,two sparkling emeralds,the waves of the ocean,1,1,1644,0
Sawdust tastes terrible.,Sunny delight tastes terrible.,sawdust,Sunny Delight,0,0,1649,0
Sawdust tastes wonderful.,Sunny delight tastes wonderful.,sawdust,Sunny Delight,1,1,1649,1
The dog poop on my shoe was ugly.,The flower that blooms once per year was ugly.,the dog poop on my shoe,the flower that blooms once per year,0,0,1650,1
The dog poop on my shoe was beautiful.,The flower that blooms once per year was beautiful.,the dog poop on my shoe,the flower that blooms once per year,1,1,1650,0
A dice missing a side is unlucky.,A full bag of dice is unlucky.,a dice missing a side,a full bag of dice,0,0,1654,1
A dice missing a side is lucky.,A full bag of dice is lucky.,a dice missing a side,a full bag of dice,1,1,1654,0
A casino is mostly based on luck.,Poker is mostly based on luck.,a casino,poker,0,0,1657,1
A casino is mostly based on skill.,Poker is mostly based on skill.,a casino,poker,1,1,1657,0
El paso is very hot.,A snowball is very hot.,El Paso ,a snowball,0,0,1660,0
El paso is not hot at all.,A snowball is not hot at all.,El Paso ,a snowball,1,1,1660,1
"A goddess is a very good, gentle and kind-hearted person","A  mad cow is a very good, gentle and kind-hearted person",a goddess,a  mad cow,0,0,1663,1
"A goddess is a crazy, stupid or an annoying person","A  mad cow is a crazy, stupid or an annoying person",a goddess,a  mad cow,1,1,1663,0
A new york times headline has an interesting personality.,A grocery list has an interesting personality.,a New York Times headline,a grocery list,0,0,1665,0
A new york times headline has no personality.,A grocery list has no personality.,a New York Times headline,a grocery list,1,1,1665,1
A dirty junkyard had a bad atmosphere,A palace of gold had a bad atmosphere,A dirty junkyard,A palace of gold,0,0,1668,1
A dirty junkyard had a good atmosphere,A palace of gold had a good atmosphere,A dirty junkyard,A palace of gold,1,1,1668,0
A starving racoon is greedy,A a nun is greedy,a starving racoon,a a nun,0,0,1670,1
A starving racoon is nice,A a nun is nice,a starving racoon,a a nun,1,1,1670,0
The devil is mean,An angel is mean,the devil,an angel,0,0,1671,1
The devil is nice,An angel is nice,the devil,an angel,1,1,1671,0
The gods venus and hathor was quite beautiful,The ugly duckling was quite beautiful,the gods Venus and Hathor ,the Ugly Duckling ,0,0,1673,0
The gods venus and hathor was very ugly,The ugly duckling was very ugly,the gods Venus and Hathor ,the Ugly Duckling ,1,1,1673,1
A sunset is beautiful,Warthog is beautiful,a sunset,warthog,0,0,1678,1
A sunset is ugly,Warthog is ugly,a sunset,warthog,1,1,1678,0
Tik tok was trendy,Myspace was trendy,Tik Tok,MySpace,0,0,1679,0
Tik tok was outdated,Myspace was outdated,Tik Tok,MySpace,1,1,1679,1
A kitty pool is not emotionally-open,A great lake is not emotionally-open,a kitty pool,a great lake,0,0,1686,1
A kitty pool is very open emotionally,A great lake is very open emotionally,a kitty pool,a great lake,1,1,1686,0
A politician doesn't have integrity.,A monk doesn't have integrity.,a politician,a monk,0,0,1689,1
A politician has a lot of integrity.,A monk has a lot of integrity.,a politician,a monk,1,1,1689,0
A fresh winter snow was very intriguing.,A dull stone was very intriguing.,a fresh winter snow,a dull stone,0,0,1692,1
A fresh winter snow was very boring.,A dull stone was very boring.,a fresh winter snow,a dull stone,1,1,1692,1
A feather was so thin she was wispy.,A blown-up balloon was so thin she was wispy.,a feather,a blown-up balloon,0,0,1700,1
A feather was very fat.,A blown-up balloon was very fat.,a feather,a blown-up balloon,1,1,1700,0
Abraham lincoln's log cabin is small.,The taj mahal is small.,Abraham Lincoln's log cabin,the Taj Mahal,0,0,1706,0
Abraham lincoln's log cabin is big.,The taj mahal is big.,Abraham Lincoln's log cabin,the Taj Mahal,1,1,1706,1
A winning racehorse can run really well.,A dying nag can run really well.,a winning racehorse,a dying nag,0,0,1716,1
A winning racehorse cannot run really well.,A dying nag cannot run really well.,a winning racehorse,a dying nag,1,1,1716,0
A kiddie pool is superficial.,The grand canyon is superficial.,a kiddie pool,the Grand Canyon,0,0,1726,0
A kiddie pool is profound.,The grand canyon is profound.,a kiddie pool,the Grand Canyon,1,1,1726,1
Lukewarm coffee is flat.,An antacid tablet is flat.,lukewarm coffee,an antacid tablet,0,0,1728,1
Lukewarm coffee is bubbly.,An antacid tablet is bubbly.,lukewarm coffee,an antacid tablet,1,1,1728,0
A god was powerful,An insect was powerful,a god,an insect,0,0,1732,1
A god was nearly powerless,An insect was nearly powerless,a god,an insect,1,1,1732,1
A derelict fortress is weak.,A weapon of war is weak.,a derelict fortress,a weapon of war,0,0,1755,0
A derelict fortress is strong.,A weapon of war is strong.,a derelict fortress,a weapon of war,1,1,1755,1
A hurricane was good.,A damp sidewalk was good.,a hurricane,a damp sidewalk,0,0,1763,1
A hurricane was bad.,A damp sidewalk was bad.,a hurricane,a damp sidewalk,1,1,1763,0
A sound from a lighthouse is well-explained,A pollution storm is well-explained,a sound from a lighthouse,a pollution storm,0,0,1770,1
A sound from a lighthouse is vague,A pollution storm is vague,a sound from a lighthouse,a pollution storm,1,1,1770,0
One's best friend can be a great asset,One's bitter enemy can be a great asset,one's Best friend,one's Bitter enemy,0,0,1788,0
One's best friend can be a great detriment,One's bitter enemy can be a great detriment,one's Best friend,one's Bitter enemy,1,1,1788,1
A desert was very warm.,A iceberg was very warm.,a desert,a iceberg,0,0,1790,1
A desert was very cold.,A iceberg was very cold.,a desert,a iceberg,1,1,1790,0
A sidewalk littered with broken glass is hard,A persian cat is hard,a sidewalk littered with broken glass,a Persian cat,0,0,1797,1
A sidewalk littered with broken glass is soft,A persian cat is soft,a sidewalk littered with broken glass,a Persian cat,1,1,1797,0
A cheese grater has rough bark.,A fireman's pole has rough bark.,a cheese grater,a fireman's pole,0,0,1809,0
A cheese grater has smooth bark.,A fireman's pole has smooth bark.,a cheese grater,a fireman's pole,1,1,1809,1
A-b-c was easy,A beast was easy,A-B-C,A beast,0,0,1814,0
A-b-c was difficult,A beast was difficult,A-B-C,A beast,1,1,1814,1
A evil genius is a highly intelligent person,A field mouse is a highly intelligent person,a evil genius,a field mouse,0,0,1816,1
A evil genius is basically a dumb animal,A field mouse is basically a dumb animal,a evil genius,a field mouse,1,1,1816,1
Clear water was easy and simple to understand,Mud was easy and simple to understand,clear water,mud,0,0,1821,1
Clear water made to sense.,Mud made to sense.,clear water,mud,1,1,1821,0
